StationID,CollectionDateTime,Longitude,Latitude,pH (unitless),DO (mg/L),TN (mg/L),TP (mg/L),Total Habitat (unitless),LRBS (unitless),MetalsCCU (unitless),SpCond (uS/cm),TDS (mg/L),DSulfate (mg/L),DChloride (mg/L),DPotassium (mg/L),DSodium (mg/L),Temperature (C)
2-CNE000.96,4/24/2012,-78.6475,37.32027778,,,,,127,,,,,,,,,
2-CNE000.96,11/6/2012,-78.6475,37.32027778,,,,,125,,,,,,,,,
2-CNE000.96,3/28/2013,-78.6475,37.32027778,,,,,133,,,,,,,,,
2-CNE000.96,11/19/2013,-78.6475,37.32027778,,,,,136,,,,,,,,,
2-CNE000.96,4/2/2014,-78.6475,37.32027778,,,,,128,,,,,,,,,
2-CNE000.96,10/22/2014,-78.6475,37.32027778,,,,,147,,,,,,,,,
2-CNE000.96,2/9/2015,-78.6475,37.32027778,7.79,11.89,,,,,,114,,,,,,9.42
2-CNE000.96,4/15/2015,-78.6475,37.32027778,7.65,10.78,0.76,0.04,,,,100,,,,,,14.84
2-CNE000.96,5/6/2015,-78.6475,37.32027778,7.26,8.87,,,112,,,101,,,,,,21.09
2-CNE000.96,6/16/2015,-78.6475,37.32027778,7.43,6.74,1.43,0.06,,,,116,,,,,,25.83
2-CNE000.96,8/3/2015,-78.6475,37.32027778,7.74,7.11,1.17,0.07,,,,123,,,,,,25.04
2-CNE000.96,10/28/2015,-78.6475,37.32027778,7.04,8.13,0.72,0.05,,,,117,,,,,,16.01
2-CNE000.96,11/30/2015,-78.6475,37.32027778,7.62,10.92,,,120,,,70,,,,,,9.31
2-CNE000.96,12/29/2015,-78.6475,37.32027778,7.46,10.17,0.84,0.05,,,,82,,,,,,12.33
2-CNE000.96,1/21/2016,-78.6475,37.32027778,7.79,13.88,1.995,0.02,,,,86,102,7.74,7.5,1.66,5.02,2.05
2-CNE000.96,2/4/2016,-78.6475,37.32027778,7.22,10.57,0.89,0.06,,,,71,74,5.1,4.17,1.91,3.19,10.91
2-CNE000.96,3/17/2016,-78.6475,37.32027778,7.67,11.01,0.48,0.02,129,,,80,74,4.1,4.03,1.4,4.185,11.37
2-CNE000.96,3/22/2016,-78.6475,37.32027778,7.39,11.71,0.99,0.02,,,,97,79,4.78,5.34,1.43,4.86,14.79
2-CNE000.96,4/18/2016,-78.6475,37.32027778,7.73,10.86,1.435,0.015,,,,120,96,5.2,6.38,1.51,5.35,20.16
2-CNE000.96,5/11/2016,-78.6475,37.32027778,7.65,8.95,1.12,0.09,,,,91,97,3.7,3.76,2.14,3.9,17.28
2-CNE000.96,6/15/2016,-78.6475,37.32027778,7.48,7.69,2.53,0.06,3,3,3,136,101,4.98,6.47,3,5.84,22.26
2-CNE000.96,7/25/2016,-78.6475,37.32027778,7.57,6.62,1.65,0.06,,,,121,109,3.86,6.83,3.5,6.23,27.28
2-CNE000.96,8/23/2016,-78.6475,37.32027778,7.72,7.85,1.11,0.05,,,,110,93,2.21,5.1,2.79,5.8,22.08
2-CNE000.96,9/19/2016,-78.6475,37.32027778,7.51,7.54,1.975,0.335,,,,67,89,4.35,4.13,5.29,3,21.1
2-CNE000.96,10/4/2016,-78.6475,37.32027778,7.62,8.45,1.33,0.04,,,,125,106,4.97,6.32,2.84,5.99,19.32
2-CNE000.96,11/9/2016,-78.6475,37.32027778,7.52,9.32,0.42,0.01,102,,,115,,,,,,11.15
2-CNE000.96,11/30/2016,-78.6475,37.32027778,7.59,8.42,1.045,0.02,,,,122,95,4.64,6.12,2.41,6.02,14.93
2-CNE000.96,12/14/2016,-78.6475,37.32027778,7.49,12.03,0.69,0.02,,,,117,89,5.16,5.01,1.66,5.36,7.26
